Graph,seeds,our_mean,our_median,our_std,hein_mean,hein_std
zoo,20,0,0,0,2.3,1.9
zoo,25,0,0,0,1.5,2.4
zoo,30,0,0,0,2.9,2.3
zoo,35,0,0,0,0.9,1.4
zoo,40,0,0,0,0.8,1.7
zoo,45,0,0,0,1.2,1.8
zoo,50,0,0,0,1.6,2.9
mushroom,20,8.458887248,7.957902511,2.283960061,18.4,7.4
mushroom,40,6.069670113,5.545297883,2.366901561,9.8,4.5
mushroom,60,4.447316593,4.074347612,1.537868941,9.9,5.5
mushroom,80,3.213934023,3.218857706,1.278465897,6.4,2.7
mushroom,100,2.511078287,2.812653865,1.623333022,6.3,2.5
mushroom,120,1.899310684,1.606351551,1.388900101,4.5,1.8
mushroom,140,1.234613491,1.366322009,0.7108157186,nan,nan
mushroom,160,1.057360906,1.193993107,0.5332237842,4.4,2.1
mushroom,180,0.9958148695,1.046282619,0.4887115289,nan,nan
mushroom,200,0.8899556869,0.8862629247,0.4966256256,3,0.6
covertype45,20,5.843954248,4.685457516,3.271274318,20.7,2
covertype45,40,0.2720588235,0.09803921569,0.5089176385,16.1,4.1
covertype45,60,0.07352941176,0,0.2079725827,10.9,4.9
covertype45,80,0.007352941176,0,0.02325204162,5.9,3.7
covertype45,100,0,0,0,4.6,3.4
covertype45,120,0,0,0,3.3,3.1
covertype45,140,0,0,0,nan,nan
covertype45,160,0,0,0,2.2,1.8
covertype45,180,0,0,0,nan,nan
covertype45,200,0,0,0,1,1.1
covertype67,20,5.56758279,5.047918262,1.178970302,25.2,18.3
covertype67,40,1.108412317,1.061330095,0.1760582429,4.3,9.6
covertype67,60,0.8870818703,0.9398843625,0.1874897465,2.1,2
covertype67,80,0.7132736665,0.6573910289,0.3436725026,2.2,1.4
covertype67,100,0.5839075604,0.5425456082,0.2777502275,1.4,1.1
covertype67,120,0.5614665012,0.5108641128,0.257834449,1,0.8
covertype67,140,0.5702669166,0.5174644243,0.2903356934,nan,nan
covertype67,160,0.5375293714,0.5174644243,0.2597378157,0.7,0.4
covertype67,180,0.5406975209,0.5174644243,0.2551404188,nan,nan
covertype67,200,0.5375293714,0.5174644243,0.2582846202,1.1,0.8
newsgroups,20,39.80544268,40.44760497,4.031498263,nan,nan
newsgroups,40,37.48429996,37.8986578,2.093589348,nan,nan
newsgroups,60,37.68255141,37.92636375,2.089480015,nan,nan
newsgroups,80,38.90284448,39.12079793,2.296731064,nan,nan
newsgroups,100,39.73586997,38.89607191,2.942564305,nan,nan
newsgroups,120,40.78192341,40.4814678,3.407318189,nan,nan
newsgroups,140,41.52136436,41.78364733,3.357785524,nan,nan
newsgroups,160,42.35993104,42.15921685,2.814571381,nan,nan
newsgroups,180,42.76997907,42.51015885,2.841062221,nan,nan
newsgroups,200,43.10676025,42.52862948,3.054288559,nan,nan
