Graph,seeds,our_mean,our_median,our_std,hein_mean,hein_std
zoo,20,28.51485149,27.22772277,10.06248924,2.3,1.9
zoo,25,23.16831683,21.78217822,8.596076882,1.5,2.4
zoo,30,19.8019802,19.8019802,5.048534172,2.9,2.3
zoo,35,14.05940594,14.35643564,4.323306375,0.9,1.4
zoo,40,10.3960396,11.88118812,4.555172852,0.8,1.7
zoo,45,8.613861386,6.930693069,4.502259862,1.2,1.8
zoo,50,7.524752475,5.940594059,3.965892775,1.6,2.9
mushroom,20,14.46824225,12.36459872,5.899543363,18.4,7.4
mushroom,40,9.292220581,8.80108321,2.469450806,9.8,4.5
mushroom,60,6.649433776,6.413096997,1.618178875,9.9,5.5
mushroom,80,4.42516002,3.49581487,1.981627334,6.4,2.7
mushroom,100,3.641063516,3.163466273,1.451776942,6.3,2.5
mushroom,120,3.055145249,3.120384047,0.9808103248,4.5,1.8
mushroom,140,2.920974889,2.911127523,0.8678558565,nan,nan
mushroom,160,2.067946824,1.797144264,0.9532198693,4.4,2.1
mushroom,180,2.055637617,1.821762678,0.9425456157,nan,nan
mushroom,200,1.576809453,1.495568685,0.5631363306,3,0.6
covertype45,20,21.77859477,22.34477124,1.686563573,20.7,2
covertype45,40,19.22957516,20.62091503,5.662434753,16.1,4.1
covertype45,60,17.10702614,17.89215686,5.573864287,10.9,4.9
covertype45,80,13.25980392,15.13480392,5.239354165,5.9,3.7
covertype45,100,9.520424837,10.22058824,4.779131744,4.6,3.4
covertype45,120,6.285130719,5.955882353,5.566692682,3.3,3.1
covertype45,140,3.300653595,1.433823529,4.277829234,nan,nan
covertype45,160,2.039215686,0.7434640523,3.419974499,2.2,1.8
covertype45,180,1.392973856,0.2818627451,2.642469062,nan,nan
covertype45,200,0.5400326797,0.07761437908,0.9957750594,1,1.1
covertype67,20,17.90426908,13.79465111,9.769621167,25.2,18.3
covertype67,40,8.658552684,8.3771154,1.665711137,4.3,9.6
covertype67,60,3.152572801,2.438155081,2.218734452,2.1,2
covertype67,80,2.260474694,2.282387729,1.465159376,2.2,1.4
covertype67,100,1.644797634,1.376824986,1.125364967,1.4,1.1
covertype67,120,1.349103678,1.052089659,1.020648638,1,0.8
covertype67,140,0.9565171476,0.6375900943,0.7524823976,nan,nan
covertype67,160,0.8664888983,0.5834675397,0.7428705806,0.7,0.4
covertype67,180,0.7012170974,0.5834675397,0.3283585815,nan,nan
covertype67,200,0.6782480133,0.5808274151,0.3616905413,1.1,0.8
newsgroups,20,58.85789927,57.6529984,3.486335682,nan,nan
newsgroups,40,53.27730575,52.06255387,4.252762938,nan,nan
newsgroups,60,49.32212782,48.5254279,3.342663916,nan,nan
newsgroups,80,45.7572959,45.64093092,2.506114506,nan,nan
newsgroups,100,43.02733653,42.52555104,2.219093306,nan,nan
newsgroups,120,41.9209457,41.87907893,1.759416291,nan,nan
newsgroups,140,40.29553011,40.19209457,1.867375891,nan,nan
newsgroups,160,39.93596848,39.91503509,1.782319249,nan,nan
newsgroups,180,39.73032878,39.89040759,1.426799381,nan,nan
newsgroups,200,39.69954439,39.57948529,1.529270479,nan,nan
